dataset,data_name,data_split
LAMIS,P403_36_L_MLO,Train
LAMIS,P300_23110_R_CC,Train
LAMIS,P65_78_R_CC,Train
LAMIS,P436_762_L_MLO,Train
LAMIS,P261_18814_L_CC,Train
LAMIS,P492_64_L_MLO,Train
LAMIS,P379_893_L_CC,Train
LAMIS,P153_635_L_CC,Train
LAMIS,P463_579_L_CC,Train
LAMIS,P409_21_R_MLO,Train
LAMIS,P291_24554_R_CC,Train
LAMIS,P218_52495_L_MLO,Train
LAMIS,P475_511_L_CC,Train
LAMIS,P487_467_R_MLO,Train
LAMIS,P370_535_L_CC,Train
LAMIS,P79_25634_L_CC,Train
LAMIS,P197_000000000_L_MLO,Train
LAMIS,P429_823_R_MLO,Train
LAMIS,P408_24_L_MLO,Train
LAMIS,P381_457_L_MLO,Train
LAMIS,P261_18814_R_CC,Train
LAMIS,P518_618_L_CC,Train
LAMIS,P433_783_L_CC,Train
LAMIS,PM1_874_L_CC,Train
LAMIS,P69_51145_R_MLO,Train
LAMIS,P279_0000000000_R_MLO,Train
LAMIS,P381_457_L_CC,Train
LAMIS,P383_48_L_CC,Train
LAMIS,P318_50630_R_MLO,Train
LAMIS,P300_23110_L_CC,Train
LAMIS,P188_75925_R_CC,Train
LAMIS,P22_84160_L_CC,Train
LAMIS,P307_24849_L_CC,Train
LAMIS,P200_48206_R_MLO,Train
LAMIS,P397_454_R_MLO,Train
LAMIS,P227_78004_L_CC,Train
LAMIS,P243_67168_R_MLO,Train
LAMIS,P386_687_R_MLO,Train
LAMIS,P53_11_R_CC,Train
LAMIS,PM37_748_R_CC,Train
LAMIS,P254_61253_L_CC,Train
LAMIS,P434_763_R_MLO,Train
LAMIS,P433_783_R_CC,Train
LAMIS,P309_012.5_R_MLO,Train
LAMIS,PM41_19192_R_CC,Train
LAMIS,P77_691_R_MLO,Train
LAMIS,PQ26_555_R_MLO,Train
LAMIS,P262_54122_R_CC,Train
LAMIS,P472_527_L_CC,Train
LAMIS,P66_60956_L_MLO,Train
LAMIS,P36_42745_R_MLO,Train
LAMIS,P267_76537_R_MLO,Train
LAMIS,P248_70628_R_CC,Train
LAMIS,P31_70742_L_MLO,Train
LAMIS,P178_66898_L_CC,Train
LAMIS,P179_53150_L_MLO,Train
LAMIS,P265_75758_R_CC,Train
LAMIS,P226_39271_L_CC,Train
LAMIS,P19_82149_L_CC,Train
LAMIS,P276_84177_L_CC,Train
LAMIS,P100_605_L_MLO,Train
LAMIS,P218_52495_R_CC,Train
LAMIS,PM21_58527_R_CC,Train
LAMIS,P379_893_L_MLO,Train
LAMIS,P188_75925_L_MLO,Train
LAMIS,P179_53150_R_MLO,Train
LAMIS,P86_42363_L_CC,Train
LAMIS,P201_43324_R_CC,Train
LAMIS,P264_75169_R_MLO,Train
LAMIS,P103_60181_R_MLO,Train
LAMIS,P31_70742_R_CC,Train
LAMIS,P46_66226_R_CC,Train
LAMIS,P202_43969_R_MLO,Train
LAMIS,P91_818_L_MLO,Train
LAMIS,P215_58942_L_MLO,Train
LAMIS,P337_73043_L_MLO,Train
LAMIS,P500_758_L_MLO,Train
LAMIS,P516_662_R_CC,Train
LAMIS,P287_53407_R_CC,Train
LAMIS,P124_67443_L_MLO,Train
LAMIS,P171_76081_L_MLO,Train
LAMIS,P38_42897_L_MLO,Train
LAMIS,P90_60929_L_CC,Train
LAMIS,P181_90584_R_MLO,Train
LAMIS,P471_529_L_CC,Train
LAMIS,P337_73043_L_CC,Train
LAMIS,P93_669_R_MLO,Train
LAMIS,P17_81945_L_CC,Train
LAMIS,P414_898_L_CC,Train
LAMIS,P48_07_L_MLO,Train
LAMIS,P117_21953_L_MLO,Train
LAMIS,P189_95339_L_MLO,Train
LAMIS,P284_70402_L_MLO,Train
LAMIS,P264_75169_L_MLO,Train
LAMIS,P247_54170_R_MLO,Train
LAMIS,P61_60904_R_MLO,Train
LAMIS,P229_80180_L_MLO,Train
LAMIS,P339_65464_L_MLO,Train
LAMIS,P250_59903_R_MLO,Train
LAMIS,P491_68_L_CC,Train
LAMIS,P241_42562_L_MLO,Train
LAMIS,P208_60038_R_MLO,Train
LAMIS,P104_42532_R_MLO,Train
LAMIS,P435_761_L_MLO,Train
LAMIS,P450_639_L_CC,Train
LAMIS,P467_547_L_MLO,Train
LAMIS,P68_470_R_MLO,Train
LAMIS,PM42_73851_R_MLO,Train
LAMIS,P320_23678_R_CC,Train
LAMIS,P473_525_R_CC,Train
LAMIS,P313_51988_L_CC,Train
LAMIS,P119_81771_L_CC,Train
LAMIS,P220_76249_L_CC,Train
LAMIS,P321_64777_L_CC,Train
LAMIS,P300_23110_L_MLO,Train
LAMIS,P2_75768_L_MLO,Train
LAMIS,P451_638_R_CC,Train
LAMIS,P76_70886_L_CC,Train
LAMIS,P298_42237_R_MLO,Train
LAMIS,P10_79226_L_MLO,Train
LAMIS,P348_23_L_MLO,Train
LAMIS,P11_79245_R_CC,Train
LAMIS,P361_47_L_MLO,Train
LAMIS,P132_74573_R_CC,Train
LAMIS,P352_788_R_MLO,Train
LAMIS,P431_816_L_CC,Train
LAMIS,P276_84177_L_MLO,Train
LAMIS,P68_470_L_CC,Train
LAMIS,P388_824_L_CC,Train
LAMIS,P211_20403_R_CC,Train
LAMIS,P416_872_L_CC,Train
LAMIS,P42_53_R_MLO,Train
LAMIS,PM38_78931_L_MLO,Train
LAMIS,P127_42811_L_MLO,Train
LAMIS,PQ4_84029_L_MLO,Train
LAMIS,P300_23110_R_MLO,Train
LAMIS,P360_586_R_MLO,Train
LAMIS,P315_60674_R_CC,Train
LAMIS,PM30_493_R_CC,Train
LAMIS,P86_42363_R_MLO,Train
LAMIS,P71_69666_L_MLO,Train
LAMIS,P4_76565_L_CC,Train
LAMIS,P350_60_R_CC,Train
LAMIS,P261_18814_R_MLO,Train
LAMIS,P76_70886_R_MLO,Train
LAMIS,P111_30_L_CC,Train
LAMIS,P349_880_L_CC,Train
LAMIS,P103_60181_R_CC,Train
LAMIS,P86_42363_L_MLO,Train
LAMIS,P92_012555888999_L_CC,Train
LAMIS,PM19_34809_R_MLO,Train
LAMIS,P282_01122233366666_R_CC,Train
LAMIS,P363_673_R_MLO,Train
LAMIS,P319_66020_R_MLO,Train
LAMIS,P228_79099_L_CC,Train
LAMIS,P398_528_R_MLO,Train
LAMIS,P264_75169_L_CC,Train
LAMIS,P58_50_L_CC,Train
LAMIS,P5_76843_R_MLO,Train
LAMIS,P333_52788_R_MLO,Train
LAMIS,P385_557_L_CC,Train
LAMIS,P112_836_L_CC,Train
LAMIS,P116_67386_R_CC,Train
LAMIS,P164_65146_R_MLO,Train
LAMIS,P45_71940_L_CC,Train
LAMIS,P252_59905_R_CC,Train
LAMIS,P241_42562_L_CC,Train
LAMIS,P233_54301_L_CC,Train
LAMIS,P477_503_L_MLO,Train
LAMIS,P465_576_L_MLO,Train
LAMIS,P287_53407_L_MLO,Train
LAMIS,P273_79922_L_CC,Train
LAMIS,P87_64616_R_MLO,Train
LAMIS,P191_20730_R_CC,Train
LAMIS,P405_32_R_MLO,Train
LAMIS,P163_20589_R_CC,Train
LAMIS,P486_471_R_MLO,Train
LAMIS,P510_463_R_MLO,Train
LAMIS,P393_793_R_MLO,Train
LAMIS,P512_894_R_MLO,Train
LAMIS,P496_803_L_MLO,Train
LAMIS,P14_14381_L_CC,Train
LAMIS,P519_473_R_MLO,Train
LAMIS,P128_75_R_MLO,Train
LAMIS,P388_824_L_MLO,Train
LAMIS,P262_54122_R_MLO,Train
LAMIS,PM2_667_R_MLO,Train
LAMIS,P425_837_R_CC,Train
LAMIS,P486_471_L_CC,Train
LAMIS,P463_579_R_MLO,Train
LAMIS,P415_889_R_CC,Train
LAMIS,P309_012.5_R_CC,Train
LAMIS,P94_68179_L_MLO,Train
LAMIS,P384_513_L_CC,Train
LAMIS,P402_41_L_MLO,Train
LAMIS,P294_61076_L_CC,Train
LAMIS,P453_633_L_CC,Train
LAMIS,P468_546_L_CC,Train
LAMIS,P497_789_R_CC,Train
LAMIS,P61_60904_R_CC,Train
LAMIS,P44_42695_R_MLO,Train
LAMIS,P169_53377_R_CC,Train
LAMIS,P57_37_R_MLO,Train
LAMIS,P195_93896_R_MLO,Train
LAMIS,P156_78730_R_MLO,Train
LAMIS,P509_531_R_MLO,Train
LAMIS,P26_73746_L_CC,Train
LAMIS,P490_76_L_MLO,Train
LAMIS,P8_77970_R_MLO,Train
LAMIS,P171_76081_R_CC,Train
LAMIS,P202_43969_L_CC,Train
LAMIS,P477_503_L_CC,Train
LAMIS,P346_66441_L_MLO,Train
LAMIS,PM36_895_L_CC,Train
LAMIS,P97_66030_L_CC,Train
LAMIS,P231_68623_R_MLO,Train
LAMIS,P360_586_L_MLO,Train
LAMIS,P452_636_L_MLO,Train
LAMIS,P513_795_R_MLO,Train
LAMIS,P32_00_R_MLO,Train
LAMIS,P187_51604_R_MLO,Train
LAMIS,P5_76843_L_CC,Train
LAMIS,P231_68623_R_CC,Train
LAMIS,P6_69578_L_CC,Train
LAMIS,P323_72350_R_CC,Train
LAMIS,P20_59_R_MLO,Train
LAMIS,P15_695_R_MLO,Train
LAMIS,P47_27927_R_MLO,Train
LAMIS,PQ20_65307_L_CC,Train
LAMIS,P364_578_L_MLO,Train
LAMIS,P292_53593_L_CC,Train
LAMIS,P193_45475_L_MLO,Train
LAMIS,P452_636_R_CC,Train
LAMIS,P93_669_R_CC,Train
LAMIS,P513_795_L_CC,Train
LAMIS,P502_741_R_MLO,Train
LAMIS,P508_548_R_MLO,Train
LAMIS,P473_525_R_MLO,Train
LAMIS,P434_763_R_CC,Train
LAMIS,P377_15_R_MLO,Train
LAMIS,P65_78_L_CC,Train
LAMIS,P132_74573_R_MLO,Train
LAMIS,P12_79288_L_MLO,Train
LAMIS,P87_64616_L_MLO,Train
LAMIS,P99_70419_L_CC,Train
LAMIS,P408_24_R_CC,Train
LAMIS,P348_23_L_CC,Train
LAMIS,P431_816_R_CC,Train
LAMIS,P296_71813_L_CC,Train
LAMIS,P379_893_R_MLO,Train
LAMIS,P464_577_L_MLO,Train
LAMIS,PQ24_92203_R_CC,Train
LAMIS,P50_59959_R_CC,Train
LAMIS,P244_70697_L_CC,Train
LAMIS,P104_42532_L_CC,Train
LAMIS,P340_58554_L_CC,Train
LAMIS,P401_82_L_CC,Train
LAMIS,P444_658_L_MLO,Train
LAMIS,P501_746_L_MLO,Train
LAMIS,P111_30_R_MLO,Train
LAMIS,P222_35530_R_MLO,Train
LAMIS,P137_27228_R_CC,Train
LAMIS,P358_623_L_MLO,Train
LAMIS,P117_21953_R_CC,Train
LAMIS,P236_50556_L_MLO,Train
LAMIS,PM37_748_R_MLO,Train
LAMIS,P347_71_R_MLO,Train
LAMIS,P271_79219_L_MLO,Train
LAMIS,P84_63588_R_MLO,Train
LAMIS,P325_53156_L_CC,Train
LAMIS,P7_77592_R_MLO,Train
LAMIS,P397_454_L_CC,Train
LAMIS,P458_594_R_MLO,Train
LAMIS,P340_58554_L_MLO,Train
LAMIS,P240_53300_R_CC,Train
LAMIS,P481_497_L_MLO,Train
LAMIS,P15_695_L_MLO,Train
LAMIS,P469_542_L_MLO,Train
LAMIS,P152_72585_R_MLO,Train
LAMIS,P298_42237_L_CC,Train
LAMIS,P395_844_L_MLO,Train
LAMIS,P298_42237_R_CC,Train
LAMIS,P468_546_R_MLO,Train
LAMIS,P239_60300_R_CC,Train
LAMIS,P405_32_L_CC,Train
LAMIS,P127_42811_L_CC,Train
LAMIS,P329_00000_L_MLO,Train
LAMIS,P313_51988_L_MLO,Train
LAMIS,P358_623_L_CC,Train
LAMIS,P359_781_L_CC,Train
LAMIS,P267_76537_R_CC,Train
LAMIS,P162_51917_L_MLO,Train
LAMIS,P506_552_R_MLO,Train
LAMIS,P66_60956_L_CC,Train
LAMIS,P503_628_L_CC,Train
LAMIS,P77_691_L_MLO,Train
LAMIS,P445_655_R_MLO,Train
LAMIS,P364_578_L_CC,Train
LAMIS,P325_53156_R_CC,Train
LAMIS,P93_669_L_MLO,Train
LAMIS,P239_60300_R_MLO,Train
LAMIS,P496_803_R_CC,Train
LAMIS,P245_53988_L_CC,Train
LAMIS,P223_41119_L_MLO,Train
LAMIS,P205_000000000_L_CC,Train
LAMIS,P84_63588_L_MLO,Train
LAMIS,P208_60038_L_MLO,Train
LAMIS,P276_84177_R_MLO,Train
LAMIS,P216_002_R_MLO,Train
LAMIS,P268_77372_R_MLO,Train
LAMIS,P392_792_R_MLO,Train
LAMIS,PM35_620_L_MLO,Train
LAMIS,PQ11_65441_L_MLO,Train
LAMIS,P430_822_R_MLO,Train
LAMIS,P268_77372_L_CC,Train
LAMIS,P74_53675_R_CC,Train
LAMIS,P123_57808_L_CC,Train
LAMIS,P510_463_R_CC,Train
LAMIS,P94_68179_R_CC,Train
LAMIS,P258_24457_R_MLO,Train
LAMIS,P106_485_L_MLO,Train
LAMIS,P159_66233_R_CC,Train
LAMIS,P77_691_R_CC,Train
LAMIS,P176_000000000000_L_MLO,Train
LAMIS,P219_50380_R_MLO,Train
LAMIS,P399_679_L_MLO,Train
LAMIS,P417_868_R_CC,Train
LAMIS,P132_74573_L_CC,Train
LAMIS,P161_44743_R_MLO,Train
LAMIS,P275_82137_R_MLO,Train
LAMIS,PM18_45885_L_MLO,Train
LAMIS,P261_18814_L_MLO,Train
LAMIS,P168_60315_R_MLO,Train
LAMIS,P497_789_L_CC,Train
LAMIS,P95_57927_R_MLO,Train
LAMIS,P62_54032_R_CC,Train
LAMIS,P137_27228_L_MLO,Train
LAMIS,P3_76444_L_CC,Train
LAMIS,P352_788_L_CC,Train
LAMIS,P343_71207_R_MLO,Train
LAMIS,P421_849_R_MLO,Train
LAMIS,P417_868_L_CC,Train
LAMIS,P40_38305_R_CC,Train
LAMIS,P205_000000000_R_MLO,Train
LAMIS,P20_59_L_MLO,Train
LAMIS,P92_012555888999_R_CC,Train
LAMIS,P120_84775_R_MLO,Train
LAMIS,P115_66386_L_MLO,Train
LAMIS,P413_04_R_CC,Train
LAMIS,P417_868_R_MLO,Train
LAMIS,P314_21174_R_CC,Train
LAMIS,P382_456_R_MLO,Train
LAMIS,P384_513_R_CC,Train
LAMIS,P120_84775_L_CC,Train
LAMIS,P159_66233_R_MLO,Train
LAMIS,P192_90465_R_MLO,Train
LAMIS,P129_64044_R_CC,Train
LAMIS,P428_832_L_MLO,Train
LAMIS,P236_50556_R_CC,Train
LAMIS,P213_67789_R_MLO,Train
LAMIS,PQ17_63290_R_MLO,Train
LAMIS,P217_60655_R_MLO,Train
LAMIS,P198_45177_L_MLO,Train
LAMIS,P265_75758_L_MLO,Train
LAMIS,P308_72338_L_CC,Train
LAMIS,P495_806_R_MLO,Train
LAMIS,P421_849_L_MLO,Train
LAMIS,P416_872_R_CC,Train
LAMIS,P8_77970_R_CC,Train
LAMIS,P155_75941_L_CC,Train
LAMIS,P321_64777_R_MLO,Train
LAMIS,P3_76444_R_MLO,Train
LAMIS,P472_527_R_MLO,Train
LAMIS,PQ28_53723_R_CC,Train
LAMIS,P67_87_R_MLO,Train
LAMIS,P46_66226_L_MLO,Train
LAMIS,P57_37_L_CC,Train
LAMIS,P283_47693_L_MLO,Train
LAMIS,P336_23760_R_CC,Train
LAMIS,P87_64616_L_CC,Train
LAMIS,P26_73746_R_MLO,Train
LAMIS,P204_465_L_MLO,Train
LAMIS,P291_24554_L_CC,Train
LAMIS,P457_607_R_CC,Train
LAMIS,P141_60218_L_MLO,Train
LAMIS,P114_52753_L_MLO,Train
LAMIS,P145_78369_L_CC,Train
LAMIS,P284_70402_R_MLO,Train
LAMIS,P349_880_R_CC,Train
LAMIS,P391_841_L_CC,Train
LAMIS,PQ7_0112200_L_MLO,Train
LAMIS,P154_75646_L_CC,Train
LAMIS,P133_58080_L_CC,Train
LAMIS,P372_522_L_MLO,Train
LAMIS,P184_50281_R_MLO,Train
LAMIS,P297_61543_L_MLO,Train
LAMIS,P495_806_L_MLO,Train
LAMIS,P216_002_L_MLO,Train
LAMIS,PQ26_555_R_CC,Train
LAMIS,P112_836_R_CC,Train
LAMIS,P389_498_L_MLO,Train
